Tanggal,Mataram,Jerowaru,Pemenang,Praya Barat Daya,Praya,Sekarbela,Santong,Sembalun
08/19/2021,0,0,0,0,0,0,0,0
08/21/2021,0,0,0,0,0,0,0,0
08/22/2021,0,0,0,0,0,0,0,0
08/23/2021,0,0,0,0,0,0,0,0
08/24/2021,0,0,0,0,0,0,0,0
08/25/2021,0,0,0,0,0,0,0,0
08/26/2021,0,0,0,0,0,0,0,0
08/27/2021,0,0,0,0,0,0,0,0
08/28/2021,0,0,0,0,0,0,0,0
08/29/2021,0,0,0,0,0,0,0,0
08/30/2021,0,0,0,0,0,0,0,0
08/31/2021,0,0,0,0,0,0,0,0
09/01/2021,0,0,0,0,0,0,0,0
09/02/2021,0,0,0,0,0,0,0,0
09/03/2021,0,0,0,0,0,0,0,0
09/04/2021,0,0,0,0,0,0,0,0
09/05/2021,0,0,0,0,0,0,0,0
09/06/2021,0,0,0,0,0,0,0,0
09/07/2021,0,0,0,0,0,0,0,0
09/08/2021,0,0,0,0,0,0,0,0
09/09/2021,0,0,0,0,0,0,0,0
09/10/2021,0,0,0,0,0,0,0,0
09/11/2021,0,0,0,0,0,0,0,0
09/12/2021,0,0,0,0,0,0,0,0
09/12/2021,0.4,0,0,0,0,0.4,0,0
09/13/2021,0.4,0,0,0,0,0.4,0,0
09/14/2021,-4.6,0,0,0,0,0,-1.4,0
09/15/2021,0.6,-0.2,0,-2,1.4,8.6,-7,0
09/16/2021,-2,0,0,-2.4,-4.4,-10.4,0,0
09/17/2021,0,0,0,0,0.4,0,0,0
09/18/2021,0,0,0,0.2,-0.2,0,0.2,0
09/19/2021,0,0,0,-0.2,-0.2,0,3.6,0
09/20/2021,0,0,0,0,0,0,0,0
09/21/2021,3.8,0,0,0,1.8,1.8,29.2,25.2
09/22/2021,14.6,0,0,0,0,0,0,0
09/23/2021,0.2,1.6,0,0.2,0,0,0,0
09/25/2021,12.2,0,0,0,0.4,0,0,0
09/26/2021,1,0,0,0,0,1.2,10,0.6
09/27/2021,0,1.6,0,0,0,0,0.6,0.2
09/28/2021,0,0,0,0,0,0,0,0
09/29/2021,0,0.4,0,0,1.6,0,0,0
09/30/2021,0,0,0,0,0,0,0,0
10/01/2021,0,0,0,0,0,0,0,0
10/02/2021,0,0,0,0,0,0,0,0
10/03/2021,,,,,,,,
10/04/2021,0,0,0,0,0,0,0,0
10/05/2021,0,0,0,0,0,0,0,5.6
10/06/2021,0,0,0,0,0,0,0,0
10/07/2021,0,0,0,0.4,0,0,0,0
10/08/2021,0,0,0,0,0,0,0,0
10/09/2021,0.2,0.4,0,0,0.4,0,0,0
10/10/2021,0.2,6.4,0,0,0.2,0,0,0
10/11/2021,0,0,0,0,0,0,0,0
10/12/2021,0,0,0,0,0,0,0,0
10/13/2021,,,,,,,,
10/14/2021,0,0,0,0,0,0,0,0
10/15/2021,0,0,0,0,0,0,0,0
10/16/2021,0,0,0,0,0,0,0,0
10/17/2021,0.4,1.2,0,0,2.8,0,0,0
10/19/2021,14,0,0,0,0,0,0,0
10/20/2021,3.2,0,0,0.4,0.2,0,7.4,0
10/21/2021,0,0,0,0,0,0,0,0
10/22/2021,0.4,0,0,4.8,4.2,0,0.4,0
10/23/2021,0,0,0,0.2,0,0,0,0
10/24/2021,0,0,0,0,0,0,0,0
10/25/2021,0,0,0,0,0,0,0,0
10/26/2021,0,0,0,0,0.2,0,0,0
10/27/2021,15.2,34.6,0,11.6,23.2,0,36,0
10/28/2021,14.6,0.4,0,8.4,107.2,0,0,0
10/29/2021,29,1,0,0,246.8,0,0.2,0.2
10/30/2021,3.8,0.2,0,4.6,12.2,0,0,0.2
10/31/2021,5.6,2,0,0,5.8,0,3.4,1.6
11/01/2021,3.2,0,0,2.8,11,0,2.6,0
11/02/2021,47.8,13.6,0,5.2,0.8,0.2,6.4,0
11/03/2021,46,0,0,5.2,9.6,0,7.6,0
11/04/2021,4.4,0,0,0,0.2,0,0,0.4
11/05/2021,24.8,4.8,0,28,0.8,0,1,0
11/06/2021,4,0.2,0,4.6,0.6,0,0,0
11/07/2021,0,0.8,0,43.4,0.2,0,0.8,0
11/08/2021,1.2,0,0,1.2,2.2,0,8,0
11/09/2021,1,39.2,0,88.8,0,0,5.6,0
11/10/2021,0,0,0,0.2,0,0,63.4,0
11/11/2021,6.8,6.2,0,0.6,0,2.2,0,0
11/12/2021,14.2,10.6,0,8.2,5.6,0,3.6,20
11/13/2021,8.6,31.2,0,26.4,8.4,2.4,15.2,3
11/14/2021,0,0,0,0,0,0.2,0.6,0
11/15/2021,0.4,1.6,0,0.8,0.4,0,9,0.2
11/16/2021,0.4,4.6,0,37.8,19.8,0.2,5.4,0
11/17/2021,0,0.4,0,6,0,0,2.4,0.2
11/18/2021,0.2,0,0,0.4,2.8,0,30.4,0
11/19/2021,0.2,0,0,0,0,0,0,0
11/20/2021,42.2,1.2,0,9,1.2,0.2,0.2,0
11/21/2021,9.2,40,0,3,9.2,0,15.2,0
11/22/2021,1.2,0,0,0,0.2,1.8,0,0
11/23/2021,0,0,0,4,0,0,0,0
11/24/2021,0,0,0,0,0,0,0,0
11/25/2021,0,0,0,0,0,0,1,0
11/26/2021,0,5.2,0,4.2,0,0,0.4,0
11/27/2021,0,0,0,0,0,0,0.4,0.2
11/28/2021,0,0,0,8.4,0,0,0,0.6
11/29/2021,5.4,0,0,1.4,0,20,1.4,0
11/30/2021,0,0,0,0,0,0,0,0
12/01/2021,0,0,0,0,0,0,0,0
12/02/2021,,,,,,,,
12/03/2021,0,0,0,0,0,0,,0
12/04/2021,0,0,0,0,0,0,0.8,0
12/05/2021,0,0,0,0,0,0,0,0
12/06/2021,0,0,0,0,0,0,0,0
12/07/2021,1,0,0,0,,0,0.6,0
12/08/2021,0,0,0,0,0,0,0,0
12/09/2021,0,0,0,0,,0,,0
12/10/2021,0,0,0,0,0,0,0,0
12/11/2021,0,0,0,0,0,0,0,0
12/12/2021,0,,0,0,,,,
12/13/2021,,,,,,,,
12/14/2021,,,,,,,,
12/15/2021,0,0,0,0,,,0,0
12/16/2021,0,0,0,0,,,0,0
12/17/2021,0,0,0,0,,0,0,0
12/18/2021,0,0,0,0,,0,0,0
12/19/2021,0,0,0,0,,0,0,0
12/20/2021,0,0,0,0,,0,,0
12/21/2021,0,0,0,0,,0,0,0
12/22/2021,0,0,0,0,,0,0,0
12/23/2021,0,0,0,0,,0,0,0
12/24/2021,0,0,0,0,0,0,0,0
12/25/2021,0,0,0,0,0,0,0,0
12/26/2021,0,0,0,0,0,0,0,0.2
12/27/2021,0,0,0,0,0,0,0,
12/28/2021,0,1,0,0,0,0,0,0
12/29/2021,0,1.6,0,0.8,0,0,2,0.8
12/30/2021,0,4.2,0,0,0,0,0,6
12/31/2021,2.8,5.2,0,0.4,0,0.8,5,9.8
01/01/2022,3.8,20.2,0,18.8,0,3.6,4.4,6.8
01/02/2022,0,0,0,0.2,0,0,16,63.8
01/03/2022,1.2,13.2,0,0,0,2.8,0,26.2
01/04/2022,4.8,0,0,0.6,0,6,0,8.4
01/05/2022,0.2,10.4,0,2.2,0,0,0.2,0.8
01/06/2022,0,0,0,0.2,,0,0,30.2
01/07/2022,0.8,0,0,0,,4,0,15.4
01/08/2022,0.2,15.8,0,0,,0,0,41.4
01/09/2022,0,0,0,0,0,0,0,8.2
01/10/2022,12,5,0,4.8,0,11.4,1,59.8
01/11/2022,0,22,0,0,,0,2.6,0
01/12/2022,3.4,0,0,0,,0,2.4,22.2
01/13/2022,0.4,1.2,0,6.8,,0.2,35.6,5.8
01/14/2022,0,0,0,0.4,,1.6,0,3
01/15/2022,16.6,3.6,0,15.8,0,0,112,13
01/16/2022,72.4,23.8,0,598.8,0,150.2,1096.8,32
01/17/2022,11,0.2,0,0,0,8.2,22.8,26.2
01/18/2022,36.8,17.2,0,37.8,0,44.8,51.8,37
01/19/2022,7.2,11,0,10,0,13.2,17.6,0.2
01/20/2022,2.2,6.4,0,9,0,22.2,3.2,2.2
01/21/2022,1.4,0,0,36.2,0,2.8,0,35.4
01/22/2022,0,2.6,0,0,0,0,0,0.4
01/23/2022,0,2.4,0,0.4,0,0,0,0
01/24/2022,0,0,0,0,0,0,0,0
01/25/2022,0,0.4,0,0,0,0,0,0
01/26/2022,10.6,3.4,0,17.2,0,9.6,0,9.4
01/27/2022,39.4,17.8,0,26,0,25,,26
01/28/2022,1.8,7.4,0,10.6,0,2.4,0.8,0
01/29/2022,1.6,10.6,0,4.6,0,8,0,15
01/30/2022,15.2,2.6,0,10,0,26,0,0
01/31/2022,0,0,0,0.2,0,0,0,0
02/01/2022,0,0,0,0,0,0,0,0
02/02/2022,3.2,0,0,0,0,1,21,0.2
02/03/2022,0.4,0,0,0,0,0,0,4.4
02/04/2022,28,4.6,0,11.4,0,27.4,0,0.4
02/05/2022,10,2,0,4,0,4.8,3.6,0.4
02/06/2022,1.8,0.2,0,0.2,0,2.8,2,16.4
02/07/2022,11.6,2.2,0,1.2,0,3.4,106.8,17
02/08/2022,0.4,1.8,0,5.6,0,2.8,17.4,46.6
02/09/2022,0,1,0,0,0,0,0,48
02/10/2022,18.2,0,0,0.8,0,4.2,0.2,10.4
02/11/2022,0,3.6,0,2.8,0,0,24.4,24.4
02/12/2022,0,4,0,0.4,0,0.4,5.6,30.6
02/13/2022,7.6,0,0,91.6,0,8,85.4,42.6
02/14/2022,10.2,7.6,0,76.6,0,14,3.2,4.2
02/15/2022,4,56.2,0,5.6,0,5.8,0,2.6
02/16/2022,10.8,0,0,0,0,10,55.2,0.2
02/17/2022,0,0,0,11.6,0,0,0,0
02/18/2022,6.2,0,0,45.2,0,2.8,,3.2
02/19/2022,2,0,0,1.2,0,0.6,122.8,16
02/20/2022,0,0,0,2.8,0,0,2.8,23
02/21/2022,69.8,63,0,24.4,0,43.6,14.2,18.4
02/22/2022,2.2,6.6,0,2.4,0,2.6,0.4,0.4
02/23/2022,0,0.8,0,0.4,0,0,4.6,0.2
02/24/2022,0,0,0,10.2,0,0,0,6.6
02/25/2022,35,0,0,5.8,0,8,1.8,24.8
02/26/2022,0.6,3.6,0,0.2,0,3.6,24.2,116.2
02/27/2022,0,0,0,6,0,0,33.6,6.8
02/28/2022,2.8,0,0,0,0,0.4,8,0.6
03/01/2022,0,0,0,0,0,0.4,11.6,0.2
03/02/2022,0.4,0.4,0,0,0,0,39.8,4
03/03/2022,0.6,0,0,2.4,0,0.2,28.2,5
03/04/2022,0,0,0,0.2,0,13,98.4,17.4
03/05/2022,8.4,0,0,0.2,0,10.4,0,0.2
03/06/2022,1.2,0.2,0,0.2,0,0,40,0
03/07/2022,0,0.2,0,0.2,0,0,12.6,0
03/08/2022,8.8,1,0,0.2,0,10.2,0.2,1.6
03/09/2022,0,0,0,0,0,0,0.8,0.2
03/10/2022,49.6,0,0,38.4,0,35.2,0,0.2
03/11/2022,8,3.6,0,0,0,0.2,1.2,6
03/12/2022,0.2,1.6,0,0,0,0.2,0,0.6
03/13/2022,0.2,2.4,0,3.6,0,0,5.4,0.2
03/14/2022,8.8,0.2,0,149.2,0,25.4,9.6,0
03/15/2022,6.2,0,0,0,0,0.2,0,0
03/16/2022,1.4,0,0,4,0,0,6.8,0
03/17/2022,0.2,0,0,17.6,0,0,5.4,0
03/18/2022,0,0,0,11.2,0,0.4,0,0
03/19/2022,3.8,1.6,0,3.8,0,0.4,8.6,0.4
03/20/2022,1.6,0,0,0.6,0,0.2,10.2,28.2
03/21/2022,2.4,0.4,0,0.4,0,0.8,28,6.2
03/22/2022,0,1.2,0,0,0,0,0,0.2
03/23/2022,5,0.6,0,5,0,3.6,36,12
03/24/2022,0,2.4,0,0,0,0,14.4,0
03/25/2022,0,0,0,0,0,0,0.2,0
03/26/2022,0,0,0,0,0,0,1.2,16.4
03/27/2022,0.8,0,0,0.2,0,0,0,5
03/28/2022,2.6,0,0,16.8,0,3.2,2,7.4
03/29/2022,0,0,0,0.2,0,0,13.4,17
03/30/2022,0,0,0,1.2,0,0,3.6,40.4
03/31/2022,7.4,0,0,0.4,0,0.2,1.8,0
04/01/2022,1.2,0,0,0,0,0.4,4.6,2.8
04/02/2022,3,4.2,0,22.6,0,1.8,31.4,2.8
04/03/2022,0.2,17,0,23.6,227.8,0,1.2,1
04/04/2022,1.8,0,0,0,0,8.8,0.2,0
04/05/2022,0,0,0,0,18,8,8.8,0
04/06/2022,6.4,0.2,0,1,0,11.4,54.6,7.2
04/07/2022,2,0,0,0.4,0,0.2,18.4,0.6
04/08/2022,0,177.8,0,0,0,1.8,1.6,0
04/09/2022,13.8,0,0,0,211,4.6,22.2,1.4
04/10/2022,4,0,0,0,26,2.6,0,0
04/11/2022,57.6,0,0,0,250.2,18.8,2.8,0
04/12/2022,0.2,0,0,0,3.2,0,0,0
04/13/2022,0,0,0,0,0,0,0,0
04/14/2022,20.8,1.4,0,0,0,0.4,0,0
04/15/2022,3.6,0,0,0,2.8,43,0,0
04/16/2022,0.6,0.8,0,25.8,5.4,0.4,0.2,0
04/17/2022,15.6,6.4,0,11.4,8.8,7.2,3.4,4.6
04/18/2022,0,0,0,25,26.8,2.6,25.8,0.8
04/19/2022,3.2,0,0,0,0,0,17.6,23.6
04/20/2022,29,7.6,0,4.4,9.4,3.6,4.8,12
04/21/2022,0.6,0,0,0.4,0.2,0.6,2.2,5.2
04/22/2022,8.4,0,0,0.6,0,12.4,0,0
04/23/2022,0,0,0,0,0,0.2,0,1
04/24/2022,25.2,1.2,0,0.2,0,2.2,0,1
04/25/2022,0.2,0,0,0.6,0,0,0,0
04/26/2022,0,0,0,0,0,0,12.4,0
04/27/2022,0,0,0,0,16,0,0,0
04/28/2022,0,275.2,0,0.2,0,0,0,0
04/29/2022,0,148,0,0,0,0,0,0
04/30/2022,0,41.6,0,1.2,29.2,0,0,0.2
05/01/2022,10.6,0,0,0,0,0,0,0
05/02/2022,11.8,4,0,16.6,0,0.6,0,0
05/03/2022,0,0.8,0,0,0,4.8,0,0
05/04/2022,0,0,0,0,0,0.2,0,0
05/05/2022,15.4,0,0,0,0,0.2,191.6,3.8
05/06/2022,6.8,0,0,0,0,9.4,2.6,0.2
05/07/2022,2.8,0,0,0,0,26,1.2,0.4
05/08/2022,0,0,0,0,0.2,0.8,4.4,0
05/09/2022,0,93.4,0,14.4,1,0.2,0,7.8
05/10/2022,1.2,0,0,5.2,10.8,26.4,34.8,0
05/11/2022,0,0,0,0,0,0,1.4,0
05/12/2022,0,0,0,0,8.8,0,0,0
05/13/2022,0,0,0,0,0,0,0,7
05/14/2022,0,0,0,9.6,0,0,27.6,0.2
05/15/2022,0,0,0,0,0,0,0.2,0
05/16/2022,0,0,0,0,0,0,6.8,0
05/17/2022,2.8,0,0,0,0,1.2,0,0
05/18/2022,5.6,272.2,0,23.8,0.6,40.6,0,0
05/19/2022,18.4,0,0,48,29,31.8,2.6,5.6
05/20/2022,8.2,0,0,18.2,0,0,0,0
05/21/2022,0.2,0,0,0,0,5,9.8,0.4
05/22/2022,0,0,0,0.8,0,0.2,0,0.2
05/23/2022,0,0,0,0,0,1.4,0,0
05/24/2022,0,0,0,0.2,0,0.4,0,0
05/25/2022,1.4,122.8,0,0,0,15.6,0,0
05/26/2022,6.6,1,0,7.2,3,183.8,0,7.4
05/27/2022,14.8,31.6,0,51.4,22.8,0,47.4,21.8
05/28/2022,0.2,0,0,0,0,272.4,0,0
05/29/2022,1,0,0,0,0,0,0,0.2
05/30/2022,0.2,1.4,0,0,0,0,0.6,1.6
05/31/2022,0,0,0,0,0,0,0,4
06/01/2022,0,0,0,0,0,0,0,0.2
06/02/2022,28.2,0,0,0.2,0.6,6.2,5.4,0
06/03/2022,13.8,10.4,0,21.6,10,6.8,15.2,0
06/04/2022,26.2,2.8,0,0,3.4,22.2,53.8,3.2
06/05/2022,0,85.4,0,0.2,0,0,0.2,0.2
06/06/2022,87.2,0,0,0.2,0.2,11.8,14.2,32
06/07/2022,0,0,0,0,0,0,0,0
06/08/2022,0,0,0,0,0,1,12,1.2
06/09/2022,0,0,0,0,0.8,2.6,0,0
06/10/2022,68.6,0,0,0,0,0.6,0,0
06/11/2022,0.2,0,0,80.4,0,0,0,0
06/12/2022,1.8,0,0,0.8,0.4,0,0.6,1.4
06/13/2022,0.4,0,0,0.4,0,12.2,33.6,33.6
06/14/2022,0,0,0,0,0,0,0,0
06/15/2022,18.4,0,0,9.8,4.4,7.2,0,0
06/16/2022,5.6,0,0,0,0,2,7.2,41
06/17/2022,19.4,0,0,0,0,24,2,0
06/18/2022,0,0,0,0,0,0,1.8,0
06/19/2022,36.8,0,0,0,,0,0,0
06/20/2022,0,0,0,0,,0,4.4,0
06/21/2022,0.2,0,0,0,,0,0,0
06/22/2022,0,7.4,0,0,0,0,0,0
06/23/2022,0,62.8,0,0,0,0,0,0
06/24/2022,0.2,0,0,0.6,0,0,5.2,0
06/25/2022,0,0,0,0,0.4,0,0,0
06/26/2022,0.2,0,0,8.4,0,0,11.2,17.8
06/27/2022,0,0.2,0,0,3.8,0,10.4,4.6
06/28/2022,0,0.4,2,0,0,0,4.8,0
06/29/2022,0,0,0,0,0,0,0,0.4
06/30/2022,0,0,0,0,0,0,0,0
07/01/2022,0,0,0,10.4,0.4,0.4,0,0.4
07/02/2022,0,0,0,0,0,0,0.2,0.6
07/03/2022,4,3.8,0,4.4,11,0,0,0
07/04/2022,0.2,0,0,9,43,0,0,0.2
07/05/2022,1.4,0,0,5.4,6.4,0,0,19.6
