Tanggal,rainfall,temperature_max,temperature_avg,humidity_avg
2022-01-01 00:00:00+00,0,32.73,27.22,78.01
2022-01-02 00:00:00+00,7,32.56,26.85,78.71
2022-01-03 00:00:00+00,1,32.43,27.15,76.25
2022-01-04 00:00:00+00,0,33.69,28.17,64.53
2022-01-05 00:00:00+00,0,33.02,27.56,76.69
2022-01-06 00:00:00+00,0,33.28,27.27,80.57
2022-01-07 00:00:00+00,1,33.46,26.73,82.49
2022-01-08 00:00:00+00,22.5,34.42,26.47,84.03
2022-01-09 00:00:00+00,0,33.42,26.96,83.34
2022-01-10 00:00:00+00,0,32.79,27.58,77.11
2022-01-11 00:00:00+00,2,32.06,26.62,84.17
2022-01-12 00:00:00+00,1,32.02,25.82,89.16
2022-01-13 00:00:00+00,30.5,30.05,24.98,91.74
2022-01-14 00:00:00+00,18.5,30.33,25.87,87.6
2022-01-15 00:00:00+00,0.5,29.27,25.88,90.24
2022-01-16 00:00:00+00,23.5,29.3,25.64,91.68
2022-01-17 00:00:00+00,0,29.81,26.56,88.42
2022-01-18 00:00:00+00,0,32.05,27.14,84.32
2022-01-19 00:00:00+00,44.5,28.55,24.74,96.47
2022-01-20 00:00:00+00,3,30.36,26.18,87.19
2022-01-21 00:00:00+00,0,29.23,24.58,90.32
2022-01-22 00:00:00+00,4,31.84,26.62,78.45
2022-01-23 00:00:00+00,10.5,30.92,26.56,85.27
2022-01-24 00:00:00+00,0,33.77,28.16,71.3
2022-01-25 00:00:00+00,27.5,34.39,26.48,85.39
2022-01-26 00:00:00+00,1,31.64,26.95,82.2
2022-01-27 00:00:00+00,0,30.68,26.29,85.51
2022-01-28 00:00:00+00,0,32.22,27.14,79.2
2022-01-30 00:00:00+00,0,33.18,27.23,77.04
2022-01-31 00:00:00+00,0,33.74,26.7,82.48
2022-02-01 00:00:00+00,0.5,32.61,27.38,82.84
2022-02-03 00:00:00+00,2,29.61,25.32,92.41
2022-02-04 00:00:00+00,0.5,32.73,27.09,81.2
2022-02-05 00:00:00+00,53,32.19,25.34,90.97
2022-02-06 00:00:00+00,0,29.23,25.76,88.94
2022-02-10 00:00:00+00,0,31.95,26.07,81.8
2022-02-11 00:00:00+00,0,30.65,25.69,80.98
2022-02-12 00:00:00+00,0,32.94,27.81,72.14
2022-02-15 00:00:00+00,1,30.36,26.32,74.03
2022-02-18 00:00:00+00,356,32.56,24.88,93.01
2022-02-19 00:00:00+00,10,30.75,25.12,95.07
2022-02-20 00:00:00+00,0,31.57,26.15,89.79
2022-02-21 00:00:00+00,14,31.24,25.42,90.99
2022-02-24 00:00:00+00,0.5,33.08,26.76,78.51
2022-02-25 00:00:00+00,0,33.57,28.24,64.93
2022-02-26 00:00:00+00,4,30.68,25.82,79.55
2022-02-27 00:00:00+00,14,31.64,24.96,88.56
2022-02-28 00:00:00+00,0,32.02,26.31,82.15
2022-03-01 00:00:00+00,5,29.99,26.1,88.86
2022-03-02 00:00:00+00,5,27.3,24.8,94.17
2022-03-03 00:00:00+00,14,31.71,26,86.62
2022-03-04 00:00:00+00,0.5,34.49,27.52,77.38
2022-03-05 00:00:00+00,0,31.3,27.09,78.05
2022-03-06 00:00:00+00,8.5,32.97,25.83,86.03
2022-03-07 00:00:00+00,5,33.76,26.86,74.56
2022-03-08 00:00:00+00,0,32.73,26.62,79.71
2022-03-09 00:00:00+00,4,33.67,26.74,85.08
2022-03-10 00:00:00+00,1,32.54,25.39,92.63
2022-03-12 00:00:00+00,8,33.74,27.2,82.25
2022-03-13 00:00:00+00,0,32.78,27.2,82.24
2022-03-14 00:00:00+00,0,33.09,27.31,88.58
2022-03-16 00:00:00+00,6.5,30.07,25.34,94.08
2022-03-17 00:00:00+00,0,32.88,28.17,83.06
2022-03-18 00:00:00+00,0,33.6,27.26,88.67
2022-03-20 00:00:00+00,0,33.05,28.83,69
2022-03-21 00:00:00+00,7.5,35.29,27.92,71.09
2022-03-22 00:00:00+00,18.5,32.16,27.23,76.02
2022-03-23 00:00:00+00,0,34.35,28.5,74
2022-03-25 00:00:00+00,1,34.47,28.14,77.84
2022-03-26 00:00:00+00,0,33.99,28.24,80.29
2022-03-27 00:00:00+00,3,31.75,25.12,91.88
2022-03-28 00:00:00+00,62,34.54,27.04,86.46
2022-03-29 00:00:00+00,0,33.05,27.2,82.76
2022-04-01 00:00:00+00,4.5,34.19,26.52,87.6
2022-04-02 00:00:00+00,0,31.76,27.3,82.05
2022-04-05 00:00:00+00,0.5,35.19,28.89,67.34
2022-04-06 00:00:00+00,49,34.17,26.02,83.58
2022-04-08 00:00:00+00,47,34.32,27.08,80.84
2022-04-09 00:00:00+00,0,34.63,28.51,66.16
2022-04-10 00:00:00+00,77,34.64,26.71,84.66
2022-04-11 00:00:00+00,144,33.23,26.78,86.08
2022-04-14 00:00:00+00,55,33.77,26.93,84.2
2022-04-15 00:00:00+00,0.5,34.57,28.11,81.67
2022-04-16 00:00:00+00,0,34.91,28.29,78.74
2022-04-17 00:00:00+00,0,34.54,28.31,76.52
2022-04-18 00:00:00+00,0,34.77,29.18,77.64
2022-04-19 00:00:00+00,45,34.58,27.33,86.04
2022-04-20 00:00:00+00,20,34.3,26.47,90.07
2022-04-21 00:00:00+00,0,33.66,27.64,81.24
2022-04-23 00:00:00+00,11,30.8,24.98,93.63
2022-04-24 00:00:00+00,24.5,33.71,26.87,89.84
2022-04-25 00:00:00+00,0,34.98,28.9,71.09
2022-04-27 00:00:00+00,0,34.06,28.18,82.39
2022-04-29 00:00:00+00,0,32.68,27.14,84.78
2022-04-30 00:00:00+00,0,33.57,27.48,84.15
2022-05-02 00:00:00+00,8.5,32.92,27.05,87.08
2022-05-03 00:00:00+00,21,33.43,26.08,89.91
2022-05-04 00:00:00+00,0,33.94,28.15,79.58
2022-05-05 00:00:00+00,7,34.23,26.86,85.27
2022-05-06 00:00:00+00,0,33.96,29.04,79.85
2022-05-07 00:00:00+00,0,34.35,28.94,77.84
2022-05-08 00:00:00+00,14.5,34.6,27.91,84.88
2022-05-09 00:00:00+00,0,35.56,30.14,73.81
2022-05-10 00:00:00+00,38.5,33.4,27.36,87.75
2022-05-11 00:00:00+00,9,33.85,28.73,82.08
2022-05-12 00:00:00+00,0.5,33.29,28.34,85.64
2022-05-13 00:00:00+00,0,33.28,28.78,74.32
2022-05-14 00:00:00+00,0,34.5,29.34,74.76
2022-05-15 00:00:00+00,0,34.13,28.72,83.57
2022-05-16 00:00:00+00,0,35.43,28.51,77.89
2022-05-17 00:00:00+00,24,34.98,27.56,85.15
2022-05-18 00:00:00+00,43.5,32.85,27.78,83.12
2022-05-19 00:00:00+00,0,33.47,27.07,87.57
2022-05-21 00:00:00+00,13.5,33.5,26.22,89.54
2022-05-22 00:00:00+00,22,32.37,27.1,83.75
2022-05-23 00:00:00+00,0,30.51,27.08,88.05
2022-05-24 00:00:00+00,0,33.16,27.49,81.46
2022-05-26 00:00:00+00,0,32.71,26.24,88.51
2022-05-28 00:00:00+00,4.5,34.71,27.71,76.76
2022-06-01 00:00:00+00,12,32.47,25.28,91.42
2022-06-02 00:00:00+00,0,33.81,28.19,79.95
2022-06-03 00:00:00+00,26,34.32,26.72,86.08
2022-06-04 00:00:00+00,0.5,32.92,26.87,84.91
2022-06-05 00:00:00+00,0,33.5,27.48,79.65
2022-06-06 00:00:00+00,22,33.89,25.95,88.79
2022-06-08 00:00:00+00,3,32.44,26.68,88.6
2022-06-09 00:00:00+00,0,32.3,26.68,87.56
2022-06-10 00:00:00+00,7.5,32.27,25.46,91.73
2022-06-11 00:00:00+00,27.5,33.77,27.39,82.97
2022-06-12 00:00:00+00,0.5,32.78,26.47,90.66
2022-06-14 00:00:00+00,31,31.95,25.28,92.66
2022-06-18 00:00:00+00,4,30.07,25.01,93.2
2022-06-19 00:00:00+00,0,23.3,22.55,100
2022-06-21 00:00:00+00,0,33.43,26.9,80.77
2022-06-22 00:00:00+00,0,32.71,27.68,80.43
2022-06-23 00:00:00+00,0,32.64,27.2,83.5
2022-06-25 00:00:00+00,3,32.81,26.14,87.91
2022-06-26 00:00:00+00,17,32.81,26.32,87.11
2022-06-28 00:00:00+00,1.5,33.7,26.91,85.3
2022-06-29 00:00:00+00,84,33.65,27.02,78.63
2022-06-30 00:00:00+00,27,34.47,27.21,73.08
2022-07-01 00:00:00+00,4,33.38,27.07,78.89
2022-07-02 00:00:00+00,0,32.75,27.55,75.01
2022-07-03 00:00:00+00,0,34.07,28.56,75.65
2022-07-04 00:00:00+00,0,32.92,28.23,82.44
2022-07-05 00:00:00+00,0.5,33.5,28.16,78.71
2022-07-06 00:00:00+00,0,34.57,28.5,77.17
2022-07-07 00:00:00+00,0,30.23,26.34,91.96
2022-07-08 00:00:00+00,16,33.84,27.15,82.25
2022-07-09 00:00:00+00,0,34.18,29.03,60.16
2022-07-10 00:00:00+00,0,33.02,27.55,67.83
2022-07-11 00:00:00+00,0,33.29,27.53,73.32
2022-07-12 00:00:00+00,0,33.02,27.58,76.81
2022-07-13 00:00:00+00,0,33.47,27.24,82.5
2022-07-15 00:00:00+00,0,33.05,27.58,82.42
2022-07-16 00:00:00+00,72,33.19,26.85,82.51
2022-07-17 00:00:00+00,19,29.83,24.89,88.06
2022-07-18 00:00:00+00,0,30.75,26.47,87.33
2022-07-19 00:00:00+00,0,33.23,28.99,75.04
2022-07-20 00:00:00+00,0,33.4,26.87,87.93
2022-07-22 00:00:00+00,0,34.36,28.55,69.65
2022-07-23 00:00:00+00,0,32.37,27.67,78.82
2022-07-24 00:00:00+00,9,33.23,27.69,80.08
2022-07-25 00:00:00+00,18,33.79,27.4,84.12
2022-07-26 00:00:00+00,0,32.81,27.44,82.48
2022-07-27 00:00:00+00,0,33.18,27.35,74.75
2022-07-28 00:00:00+00,0,33.57,27.58,74.45
2022-07-29 00:00:00+00,0,32.92,28.36,73.54
2022-07-30 00:00:00+00,0,33.16,27.93,78.82
2022-07-31 00:00:00+00,0,33.47,27.88,79.23
2022-08-01 00:00:00+00,0,33.4,27.46,78.71
2022-08-03 00:00:00+00,0,34.57,28.81,73.5
2022-08-04 00:00:00+00,11,33.64,27.76,81.66
2022-08-05 00:00:00+00,6.5,33.05,26.5,91.71
2022-08-06 00:00:00+00,0,31.61,27.02,84.36
2022-08-07 00:00:00+00,44,33.88,26.79,82.37
2022-08-08 00:00:00+00,102,34.01,26.49,81.98
2022-08-09 00:00:00+00,0,34.84,28.65,67.9
2022-08-10 00:00:00+00,0,33.74,27.58,79.13
2022-08-11 00:00:00+00,0,34.25,27.69,78.5
2022-08-12 00:00:00+00,81,34.95,28.03,79.98
2022-08-14 00:00:00+00,0,30.96,25.83,86.32
2022-08-15 00:00:00+00,0,34.36,27.73,77.59
2022-08-16 00:00:00+00,24.5,33.69,27.39,81.11
2022-08-17 00:00:00+00,3.5,33.53,26.77,87.01
2022-08-18 00:00:00+00,0,33.16,27.86,77.84
2022-08-20 00:00:00+00,0,34.7,28.59,73.5
2022-08-21 00:00:00+00,0,34.08,28.34,69.83
2022-08-23 00:00:00+00,4.5,31.65,26.52,90.68
2022-08-24 00:00:00+00,0,34.5,28.43,76.23
2022-08-25 00:00:00+00,0.5,34.09,28.46,74.96
2022-08-26 00:00:00+00,0,33.69,27.57,74.08
2022-08-28 00:00:00+00,3,33.29,26.58,84.63
2022-08-29 00:00:00+00,67.5,32.2,25.44,90.16
2022-09-01 00:00:00+00,0,32.92,27.79,77.65
2022-09-02 00:00:00+00,0,33.02,27.33,81.04
2022-09-03 00:00:00+00,22,34.12,26.97,84.35
2022-09-04 00:00:00+00,0,33.4,27.8,73.16
2022-09-05 00:00:00+00,2.5,33.84,27.92,79.74
2022-09-06 00:00:00+00,1,33.77,28.76,75.62
2022-09-07 00:00:00+00,0,34.1,27.6,83.74
2022-09-08 00:00:00+00,0.5,33.36,26.77,86.59
2022-09-09 00:00:00+00,24,27.82,24.51,98.37
2022-09-10 00:00:00+00,15.5,31.62,25.67,88.1
2022-09-11 00:00:00+00,33,31.45,25.4,92.04
2022-09-12 00:00:00+00,95,33.64,26.39,84.84
2022-09-13 00:00:00+00,0,32.54,27.53,79.55
2022-09-14 00:00:00+00,0,32.92,27.24,78.17
2022-09-15 00:00:00+00,0,33.98,27.71,71.58
2022-09-16 00:00:00+00,0,34.05,27.98,73.01
2022-09-17 00:00:00+00,4.5,34.33,27.3,82.3
2022-09-18 00:00:00+00,0,34.25,27.93,76.61
2022-09-19 00:00:00+00,22.5,33.77,28.1,81.44
2022-09-20 00:00:00+00,0,34.3,27.65,69.81
2022-09-21 00:00:00+00,4,33.91,27.53,77.64
2022-09-22 00:00:00+00,1,33.33,27.49,81.81
2022-09-23 00:00:00+00,3.5,33.18,26.97,85.57
2022-09-24 00:00:00+00,28.5,33.33,26.7,83.93
2022-09-25 00:00:00+00,0,34.81,28.88,70.9
2022-09-26 00:00:00+00,0.5,35.05,28.51,73.36
2022-09-27 00:00:00+00,2,34.8,28.66,70.04
2022-09-28 00:00:00+00,0,35.15,28.89,70.04
2022-09-29 00:00:00+00,7,34.49,27.85,75.76
2022-09-30 00:00:00+00,0,33.56,27.69,76.37
2022-10-01 00:00:00+00,0,32.95,28.05,75.69
2022-10-02 00:00:00+00,1.5,33.77,27.29,83.86
2022-10-03 00:00:00+00,24.5,30.78,26.07,88.48
2022-10-04 00:00:00+00,40.5,35.56,26.94,84.08
2022-10-05 00:00:00+00,12.5,33.91,26.12,89.28
2022-10-06 00:00:00+00,0,31.47,26.59,87.7
2022-10-07 00:00:00+00,26.5,33.6,26.17,88.18
2022-10-08 00:00:00+00,95,32.34,25.83,85.95
2022-10-09 00:00:00+00,2,32.37,26.9,78.23
2022-10-10 00:00:00+00,0,33.7,26.99,82.59
2022-10-11 00:00:00+00,0,32.06,27.34,81.88
2022-10-12 00:00:00+00,1,32.37,26.02,86.11
2022-10-13 00:00:00+00,14,35.05,26.79,83.99
2022-10-14 00:00:00+00,11,33.97,26.25,85.79
2022-10-15 00:00:00+00,33,35.15,27.83,78.77
2022-10-16 00:00:00+00,9,32.68,26.5,87.37
2022-10-17 00:00:00+00,12,33.32,28.25,79.09
2022-10-18 00:00:00+00,62,33.94,27.54,82.68
2022-10-19 00:00:00+00,9,31.89,26.01,91.9
2022-10-20 00:00:00+00,5.5,32.37,26.04,90.06
2022-10-21 00:00:00+00,13,32.06,26.07,90.82
2022-10-22 00:00:00+00,1,31.55,26.53,86.17
2022-10-23 00:00:00+00,12.5,34.02,27.52,85.96
2022-10-24 00:00:00+00,0,34.06,28.57,76.15
2022-10-25 00:00:00+00,2,34.16,26.99,83.98
2022-10-26 00:00:00+00,14,33.78,26.62,83.77
2022-10-27 00:00:00+00,5,31.4,27.29,76.07
2022-10-28 00:00:00+00,0,33.09,27.31,70.84
2022-10-29 00:00:00+00,0,34.71,29.45,59.85
2022-10-30 00:00:00+00,0,35.46,29.11,64.22
2022-10-31 00:00:00+00,0,35.94,29.03,63.91
2022-11-01 00:00:00+00,4,34.84,28.16,77.81
2022-11-02 00:00:00+00,3,34.09,27.87,79.65
2022-11-03 00:00:00+00,67,34.98,26.84,86.61
2022-11-04 00:00:00+00,14,32.88,26.72,86.21
2022-11-05 00:00:00+00,25,33.57,26.61,83.93
2022-11-06 00:00:00+00,2.5,34.81,26.43,89.33
2022-11-07 00:00:00+00,1,32.85,27.85,82.98
2022-11-08 00:00:00+00,0.5,31.03,26.19,89.96
2022-11-09 00:00:00+00,1,32.16,25.87,89.15
2022-11-10 00:00:00+00,0,33.02,26.78,83.97
2022-11-11 00:00:00+00,3,34.68,26.94,81.77
2022-11-12 00:00:00+00,7.5,32.44,26.15,86.44
2022-11-13 00:00:00+00,161.5,33.36,25.82,90.31
2022-11-14 00:00:00+00,82,32.3,25.63,92.98
2022-11-15 00:00:00+00,12.5,33.6,26.7,88.24
2022-11-16 00:00:00+00,0,31.55,26.63,82.94
2022-11-17 00:00:00+00,31,33.24,27.21,86.64
2022-11-18 00:00:00+00,9,27.79,25.28,91.04
2022-11-19 00:00:00+00,8,32.75,26,87.69
2022-11-20 00:00:00+00,0,32.71,26.23,83.3
2022-11-22 00:00:00+00,0,32.13,27.94,68.19
2022-11-24 00:00:00+00,0,31.06,26.34,79.82
2022-11-25 00:00:00+00,7.5,32.17,26.54,80.29
2022-11-26 00:00:00+00,14,31.89,26.09,90.99
2022-11-28 00:00:00+00,40,32.54,27.49,82.35
2022-11-29 00:00:00+00,62,33.12,25.63,88.03
2022-12-03 00:00:00+00,10.5,27.69,24.49,97.7
2022-12-04 00:00:00+00,18,33.47,27.71,78.88
2022-12-06 00:00:00+00,10.5,30.9,25.15,95.36
2022-12-07 00:00:00+00,3,32.37,25.45,92.08
2022-12-09 00:00:00+00,2.5,32.37,25.55,92.67
2022-12-10 00:00:00+00,3.5,32.54,24.92,90.54
2022-12-13 00:00:00+00,0.5,33.02,26.16,83.4
2022-12-14 00:00:00+00,0,32.39,25.75,73.66
2022-12-15 00:00:00+00,0,33.81,26.5,73.41
2022-12-16 00:00:00+00,0,35.36,28.84,64.7
2022-12-17 00:00:00+00,0,34.76,25.53,82.12
2022-12-24 00:00:00+00,0.8,30.86,26.37,79.05
2022-12-29 00:00:00+00,29.4,31.14,23.4,93.07
2022-12-31 00:00:00+00,1.6,28.55,25.02,90.14
